id,host_since,neighbourhood,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
9555500,2015-11-20,Ward 15,Cape Town,7130,-34.05868,18.82662,House,Entire home/apt,6,2.5,3.0,5.0,Real Bed,1004,,7,1125,1,100.0
9555527,2015-11-20,Ward 58,Cape Town,7700,-33.97003,18.49115,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,901,250.0,6,90,4,100.0
9558166,2015-11-20,Ward 115,Cape Town,8051,-33.9118,18.41067,House,Entire home/apt,4,2.0,3.0,3.0,Real Bed,2993,2100.0,7,13,1,80.0
9558868,2014-10-20,Ward 64,Cape Town,7945,-34.08591,18.47419,House,Entire home/apt,6,3.0,3.0,3.0,Real Bed,2993,500.0,7,1125,2,50.0
9561670,2015-07-11,Ward 107,Cape Town,7441,-33.8223,18.47859,Apartment,Entire home/apt,6,2.0,3.0,0.0,Real Bed,2999,,5,1125,4,100.0
9565867,2015-09-22,Ward 4,Cape Town,7441,-33.86066,18.48985,Villa,Entire home/apt,10,5.0,5.0,8.0,Real Bed,6496,0.0,7,1124,33,99.0
9566762,2015-11-21,Ward 54,Cape Town,8060,-33.9128,18.39286,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,1948,,7,21,2,80.0
9567458,2015-07-06,Ward 21,Cape Town,7550,-33.84728,18.65522,Bed and breakfast,Shared room,2,1.0,1.0,2.0,Real Bed,1097,,1,1125,0,94.57809342683942
9570128,2015-11-21,Ward 23,Cape Town,7441,-33.80411,18.47909,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,349,100.0,1,3,0,94.57809342683942
9570164,2015-11-21,Ward 77,Cape Town,8001,-33.94278,18.4241,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,2502,300.0,5,1125,0,94.57809342683942
9570268,2015-11-21,Ward 77,Cape Town,8001,-33.94697,18.41464,House,Entire home/apt,6,4.0,3.0,3.0,Real Bed,3997,,10,14,0,94.57809342683942
9572328,2015-11-21,Ward 54,Cape Town,8060,-33.91927,18.38433,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,3506,,7,1125,1,100.0
9572412,2014-11-19,Ward 74,Cape Town,7806,-34.02577,18.37098,Cabin,Entire home/apt,2,1.0,1.0,1.0,Real Bed,816,,7,1125,0,94.57809342683942
9574382,2015-09-10,Ward 54,Cape Town,8060,-33.91526,18.39474,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,1099,700.0,180,1125,132,96.0
9575417,2015-11-21,Ward 115,Cape Town,8005,-33.91244,18.41019,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,977,500.0,4,1125,28,97.0
9579783,2015-11-22,Ward 54,Cape Town,8005,-33.9257,18.38379,House,Entire home/apt,2,1.5,1.0,2.0,Real Bed,1092,,1,1125,0,94.57809342683942
9579859,2014-07-15,Ward 58,Cape Town,7700,-33.9608,18.48033,House,Entire home/apt,4,1.0,2.0,4.0,Real Bed,793,,2,1125,6,90.0
9581889,2014-10-20,Ward 107,Cape Town,7441,-33.81624,18.4863,House,Entire home/apt,6,3.0,4.0,4.0,Real Bed,3506,0.0,7,1125,4,87.0
9582064,2015-03-10,Ward 54,Cape Town,8005,-33.96407,18.37876,Loft,Entire home/apt,2,1.0,1.0,2.0,Real Bed,1501,0.0,2,1125,70,99.0
9582764,2015-07-07,Ward 115,Cape Town,8051,-33.90946,18.41043,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,401,480.0,2,1125,41,84.0
9582819,2013-06-16,Ward 61,Cape Town,7976,-34.13752,18.33151,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,511,,7,1125,1,100.0
9583395,2013-05-30,Ward 69,Cape Town,7979,-34.09661,18.35794,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,4406,,8,1125,6,100.0
9583498,2015-11-18,Ward 73,Cape Town,7945,-34.04351,18.45368,House,Entire home/apt,4,1.5,3.0,3.0,Real Bed,1742,,7,1125,1,100.0
9585048,2015-07-25,Ward 62,Cape Town,7806,-34.0129,18.44546,House,Entire home/apt,8,3.5,5.0,6.0,Real Bed,9998,,10,60,0,94.57809342683942
9586652,2015-11-12,Ward 115,Cape Town,8001,-33.91406,18.42457,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1251,250.0,2,1125,176,95.0
9586927,2015-11-22,Ward 58,Cape Town,7700,-33.97286,18.47345,House,Entire home/apt,10,3.5,4.0,7.0,Real Bed,3742,180.0,7,1125,2,90.0
9589105,2012-06-05,Ward 57,Cape Town,7925,-33.93268,18.44196,House,Private room,2,1.0,1.0,1.0,Real Bed,459,,2,21,3,100.0
9592552,2013-07-20,Ward 77,Cape Town,8001,-33.91928,18.41612,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,1498,500.0,2,1125,8,98.0
9592885,2013-07-20,Ward 77,Cape Town,8001,-33.91889,18.4168,Apartment,Entire home/apt,4,2.0,2.0,4.0,Real Bed,1498,500.0,2,1125,10,98.0
9597646,2015-11-23,Ward 58,Cape Town,7708,-33.9844,18.48421,Apartment,Entire home/apt,4,1.5,3.0,4.0,Real Bed,793,150.0,4,1125,3,93.0
9597666,2015-03-10,Ward 54,Cape Town,8005,-33.9629,18.37852,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1498,0.0,1,1125,85,99.0
9598270,2015-11-06,Ward 62,Cape Town,7806,-34.01551,18.44139,House,Entire home/apt,8,3.0,4.0,5.0,Real Bed,9928,600.0,5,1125,4,95.0
9598415,2015-09-22,Ward 23,Cape Town,7441,-33.80111,18.46164,Guest suite,Entire home/apt,2,1.5,1.0,1.0,Real Bed,557,130.0,2,1125,40,94.0
9598663,2015-11-23,Ward 115,Cape Town,8005,-33.90758,18.39964,Apartment,Entire home/apt,4,2.5,2.0,4.0,Real Bed,3542,,5,16,0,94.57809342683942
9599809,2015-11-23,Ward 77,Cape Town,8001,-33.93981,18.4192,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,846,,5,19,3,93.0
9600274,2015-11-23,Ward 21,Cape Town,7550,-33.84321,18.65407,Guest suite,Entire home/apt,2,1.5,1.0,0.0,Real Bed,505,200.0,2,1125,72,100.0
9600379,2015-11-23,Ward 115,Cape Town,8000,-33.92687,18.41591,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,599,250.0,2,1125,87,95.0
9601325,2015-11-23,Ward 100,Cape Town,7140,-34.16891,18.85076,Bungalow,Entire home/apt,2,1.0,1.0,1.0,Real Bed,853,200.0,2,1125,0,94.57809342683942
9602149,2015-09-16,Ward 54,Cape Town,8060,-33.91514,18.39558,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,2009,0.0,5,22,0,94.57809342683942
9602903,2015-08-06,Ward 54,Cape Town,8060,-33.91374,18.39357,Apartment,Entire home/apt,2,2.0,1.0,1.0,Real Bed,847,,1,1125,2,100.0
9603512,2015-11-23,Ward 54,Cape Town,8005,-33.9101,18.3973,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,558,380.0,3,4,36,91.0
9604211,2015-11-23,Ward 77,Cape Town,8001,-33.92304,18.41061,Guest suite,Entire home/apt,2,1.0,1.0,2.0,Real Bed,352,150.0,1,1125,54,96.0
9604313,2015-11-23,Ward 77,Cape Town,8001,-33.9359,18.42764,House,Entire home/apt,7,2.5,3.0,5.0,Real Bed,3100,800.0,4,1125,3,100.0
9604730,2015-05-25,Ward 69,Cape Town,7979,-34.09802,18.35805,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,1620,0.0,3,365,78,98.0
9605593,2015-11-23,Ward 77,Cape Town,8001,-33.92799,18.40246,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,2007,573.0,1,1125,120,98.0
9606195,2015-11-23,Ward 115,Cape Town,8000,-33.92257,18.42052,Apartment,Entire home/apt,4,2.5,2.0,2.0,Real Bed,1498,500.0,2,1125,127,98.0
9606662,2015-11-23,Ward 115,Cape Town,8001,-33.92345,18.4221,Loft,Entire home/apt,2,1.5,1.0,1.0,Real Bed,793,125.0,2,4,94,94.0
9606672,2014-03-09,Ward 55,Cape Town,7441,-33.8826,18.48806,Townhouse,Entire home/apt,5,2.0,2.0,4.0,Real Bed,1358,395.0,5,1125,38,95.0
9606995,2015-11-23,Ward 64,Cape Town,,-34.12504,18.45029,Condominium,Entire home/apt,4,1.0,2.0,3.0,Real Bed,1846,350.0,2,1125,78,97.0
9607091,2015-08-30,Ward 54,Cape Town,8060,-33.92284,18.38065,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,748,250.0,5,60,25,77.0
9608307,2015-04-20,Ward 69,Cape Town,7975,-34.13683,18.38929,House,Entire home/apt,8,3.0,4.0,4.0,Real Bed,3501,,2,30,2,100.0
9608582,2015-11-22,Ward 103,Cape Town,,-33.82962,18.69101,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,1744,200.0,5,1125,0,94.57809342683942
9609565,2014-05-14,Ward 77,Cape Town,8001,-33.94235,18.42542,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1003,400.0,3,30,16,100.0
9610083,2015-11-23,Ward 54,Cape Town,8060,-33.92539,18.3794,Apartment,Entire home/apt,6,3.5,3.0,3.0,Real Bed,11004,,7,1125,1,94.57809342683942
9615035,2015-11-23,Ward 77,Cape Town,8001,-33.93127,18.4055,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,907,400.0,90,180,12,89.0
9616845,2014-09-15,Ward 64,Cape Town,7945,-34.10657,18.46728,Boutique hotel,Hotel room,2,1.0,1.0,2.0,Real Bed,544,250.0,4,1125,1,100.0
